feature,importance
away_team_last10_wins,0.5540312992935572
precipitation_chance,0.49335919732282957
weather_encoded,0.43255843357006635
home_lineup_avg_ba,0.3506793658427906
temperature_f,0.30374439210150167
away_team_runs_for,0.2994474441535072
away_sp_days_rest,0.2862018578314157
away_lineup_total_hr,0.2844751678283256
away_team_runs_against,0.2844104641051898
away_sp_era,0.27942122440909267
away_lineup_avg_ops,0.27758420543349804
home_team_last10_wins,0.2710732482718346
home_sp_bb9,0.25320659157041736
wind_mph,0.24642718957690002
last10_wins_diff,0.2297782192357867
away_team_win_pct,0.2237217407153495
win_pct_diff,0.21849286233165713
home_lineup_avg_krate,0.2127292303996474
lineup_ops_diff,0.19987663265487932
home_lineup_avg_bbrate,0.19416734721884066
home_team_home_win_pct,0.19328259939522113
game_month,0.19059820988208526
away_sp_bb9,0.18853085596811422
home_sp_whip,0.1755353268232182
away_sp_whip,0.17425110649250733
lineup_skill_diff,0.1686954105506439
away_lineup_avg_skill,0.15263557165484792
humidity_pct,0.13492013027228042
park_factor,0.13098830070547315
away_team_run_diff,0.12688306734909924
away_lineup_avg_krate,0.1245210195690725
home_team_win_pct,0.12211715793601231
sp_era_diff,0.11389539257285482
home_sp_era,0.11095674193774027
home_lineup_avg_skill,0.1087062346028589
away_team_away_win_pct,0.09863275271350218
home_sp_days_rest,0.09444797153801153
home_sp_innings_pitched,0.09127617238153861
home_team_run_diff,0.0800308646050796
away_sp_innings_pitched,0.07662441359658193
ump_k_rate_bias,0.07198400222003559
away_lineup_avg_bbrate,0.06484736568761977
home_team_runs_against,0.05956754807755155
wind_dir_encoded,0.04877379116752371
home_lineup_total_hr,0.047572991223713806
run_diff_diff,0.044796228296817855
sp_bb9_diff,0.03314640031659455
home_lineup_avg_ops,0.03206334239384834
attendance_pct_capacity,0.02664164229081319
home_team_runs_for,0.026275677991315326
home_sp_k9,0.014754326000898255
away_sp_k9,0.012985510342479408
away_lineup_avg_ba,0.012862209306450111
sp_whip_diff,0.0019260807382711393
sp_k9_diff,0.00046648429648717425
